CATEGORIAS;descricaoesfera;unidadeorcamentaria;descricaofuncao;descricaosubfuncao;tituloprograma;descricaotipoprograma;tituloacao;tipoacao;descricaoproduto;uf;regiao;estado
Promoção do Cooperativismo e Associativismo para o Desenvolvimento Agropecuário;;;;;;;351;;;;;
Promoção e Fortalecimento da Agricultura Familiar;;;;;;;20;;;;;
Promoção e Fortalecimento da Comercialização e Acesso aos Mercados;;;;;;;298;;;;;
Promoção e Fortalecimento da Estruturação Produtiva da Agricultura Familiar, Pequenos e Médios Produtores Rurais;;;;;;;1228;;;;;
Proteção e Benefícios ao Trabalhador;;;;379;;;;;;;;
Proteção e Promoção dos Direitos dos Povos Indígenas;;;;;4;;;;;;;
RJ;;;;;;;;;;940;;
RN;;;;;;;;;;543;;
RO;;;;;;;;;;411;;
RR;;;;;;;;;;209;;
RS;;;;;;;;;;585;;
Reconhecimento e Indenização de Territórios Quilombolas;;;;;;;324;;;;;
Rede implantada;;;;;;;;;45;;;
Redução de Riscos na Atividade Agropecuária;;;;;;;155;;;;;
Reforma Agrária;;;;2320;;;;;;;;
Reforma Agrária e Governança Fundiária;;;;;46;;;;;;;
Reforma Agrária e Regularização Fundiária;;;;;;;1046;;;;;
Reforma, Ampliação e Modernização dos Laboratórios Nacionais Agropecuários (Lanagros);;;;;;;5;;;;;
Regularização Ambiental dos Imóveis Rurais nas Unidades da Federação;;;;;;;2;;;;;
Regularização Fundiária e Assistência Técnica e Extensão Rural na Amazônia Legal e sua Região Fronteiriça;;;;;;;72;;;;;
Regularização da Estrutura Fundiária na Área de Abrangência da Lei 11,952, de 2009;;;;;;;2;;;;;
Regularização, Demarcação e Fiscalização de Terras Indígenas e Proteção dos Povos Indígenas Isolados;;;;;;;2;;;;;
Relações Diplomáticas;;;;123;;;;;;;;
Reordenamento e Consolidação da Estrutura e Governança Fundiária;;;;;;;73;;;;;
Rio Grande do Norte;;;;;;;;;;;;543
Rio Grande do Sul;;;;;;;;;;;;585
Rio de Janeiro;;;;;;;;;;;;940
Rondônia;;;;;;;;;;;;411
Roraima;;;;;;;;;;;;209
SC;;;;;;;;;;424;;
SE;;;;;;;;;;269;;
SFB;;675;;;;;;;;;;
SP;;;;;;;;;;510;;
Santa Catarina;;;;;;;;;;;;424
Sergipe;;;;;;;;;;;;269
Sistema implantado;;;;;;;;;8;;;
Subvenção Econômica ao Preço do Óleo Diesel de Embarcações Pesqueiras (Lei nº 9,445, de 1997);;;;;;;2;;;;;
Subvenção Econômica ao Preço do Óleo Diesel de Embarcações Pesqueiras (Lei nº 9.445, de 1997);;;;;;;32;;;;;
Sudeste;;;;;;;;;;;2660;
Sul;;;;;;;;;;;1897;
São Paulo;;;;;;;;;;;;510
TO;;;;;;;;;;278;;
Tecnologia transferida;;;;;;;;;32;;;
Terminal mantido;;;;;;;;;35;;;
Terra indígena protegida;;;;;;;;;2;;;
Tocantins;;;;;;;;;;;;278
Transferência de Tecnologias Desenvolvidas para a Agropecuária;;;;;;;32;;;;;
Transferência de Tecnologias para a Inovação para a Agropecuária;;;;;;;559;;;;;
Técnico/produtor capacitado;;;;;;;;;56;;;
Título emitido;;;;;;;;;398;;;
Unidade atendida;;;;;;;;;272;;;
Unidade controlada;;;;;;;;;119;;;
Unidade da Federação integrada;;;;;;;;;2;;;
Unidade de cadeia produtiva mantida;;;;;;;;;239;;;
Unidade implantada/ aparelhada/ adequada;;;;;;;;;8;;;
Universitário capacitado;;;;;;;;;22;;;
Vigilância e Inspeção das Operações de Comércio Exterior de Mercadorias, Bens e Materiais de Interesse Agropecuário;;;;;;;152;;;;;
XXV Congresso Mundial da União Internacional de Organizações de Pesquisa Florestal;;;;;;;2;;;;;
Área ampliada;;;;;;;;;299;;;
Área de florestas sob concessão;;;;;;;;;2;;;
Área destinada;;;;;;;;;2;;;
Área inventariada;;;;;;;;;2;;;
Área obtida;;;;;;;;;424;;;
Área reconhecida;;;;;;;;;324;;;
Área regularizada;;;;;;;;;648;;;
Óleo diesel subvencionado;;;;;;;;;34;;;
