exerciciofiscal;uf;subfuncao;Autorizado;Pago;Autorizado_USD;Pago_USD;IDH;Populacao;PIB;Valor_PIB_Agronegocio;Valor_PIB_Agricola;Valor_PIB_Pecuario;%_PIB_Agronegocio;%_PIB_Agricola;%_PIB_Pecuario;Total_Propriedade_Agricola;Populacao_Por_Propriedade;Log_Pop_Por_Propriedade;Norm_Pop_Por_Propriedade;Nao_Recebe_Orientacao_Tecnica;%_Nao_Recebe_Orientacao_Tecnica;Recebe_Orientacao_Tecnica;%_Receber_Orientacao_Tecnica;Governo_Orientacao_Tecnica;Propria_Orientacao_Tecnica;Cooperativas_Orientacao_Tecnica;Empresas_Integradoras_Orientacao_Tecnica;Empresas_Privadas_Orientacao_Tecnica;ONG_Orientacao_Tecnica;Sistema_S_Orientacao_Tecnica;Outra_Origem__Orientacao_Tecnica;tipoacao_CAPEX;tipoacao_OPEX;tipoacao_Operação Especial;regiao_BR;regiao_Centro-Oeste;regiao_Nordeste;regiao_Norte;regiao_Sudeste;regiao_Sul;unidadeorcamentaria_CONAB;unidadeorcamentaria_EMBRAPA;unidadeorcamentaria_INCRA;unidadeorcamentaria_MAPA;unidadeorcamentaria_SFB
2018;DF;Promoção da Produção Agropecuária;1200000.0;5492.56;328767.1233;1504.810959;0.845;2972209;254817204.7;50990499.1;37960399.66;13030099.43;0.200106187;0.148971101;0.051135085;5246;566.5667175;2.753251059;4.091625222;1211;0.230842547;4035;0.769157453;3568;418;218;163;35;7;88;42;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;GO;Difusão do Conhecimento Científico e Tecnológico;500000.0;0.0;136986.3014;0.0;0.771;6923260;195681724.0;39157123.56;29150921.97;10006201.6;0.200106187;0.148971101;0.051135085;152174;45.49568257;1.657970185;-0.247005151;118755;0.780389554;33419;0.219610446;5515;18797;7421;1902;1286;80;324;1307;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;GO;Promoção da Produção Agropecuária;15552999.0;983903.32;4261095.616;269562.5534;0.771;6923260;195681724.0;39157123.56;29150921.97;10006201.6;0.200106187;0.148971101;0.051135085;152174;45.49568257;1.657970185;-0.247005151;118755;0.780389554;33419;0.219610446;5515;18797;7421;1902;1286;80;324;1307;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;MS;Promoção da Produção Agropecuária;12500000.0;393126.49;3424657.534;107705.8877;0.77;2679112;106969141.7;21405187.02;15935310.86;5469876.157;0.200106187;0.148971101;0.051135085;71164;37.64701253;1.575730519;-0.312356084;48566;0.682451801;22598;0.317548199;6458;11803;3471;1065;881;73;698;795;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;MT;Promoção da Produção Agropecuária;5406135.0;88115.21;1481132.877;24141.15342;0.778;3388919;137442852.8;27503165.14;20475013.17;7028151.966;0.200106187;0.148971101;0.051135085;118679;28.55533835;1.45568731;-0.388056729;96681;0.81464286;21998;0.18535714;4967;12592;2083;1754;835;86;347;1087;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;AL;Promoção da Produção Agropecuária;2100135.0;19600.0;575379.4521;5369.863014;0.689;3315564;54413046.66;10888387.26;8105971.497;2782415.768;0.200106187;0.148971101;0.051135085;98542;33.64620162;1.526936043;-0.345668317;92457;0.93824968;6085;0.06175032;2619;1989;1009;112;73;43;49;484;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;BA;Promoção da Produção Agropecuária;64039382.0;1087935.0;17545036.16;298064.3836;0.71;14793319;286239541.1;57278303.0;42641419.73;14636883.28;0.200106187;0.148971101;0.051135085;762848;19.39222361;1.28762761;-0.464352215;704292;0.923240279;58556;0.076759721;24357;17143;8380;2135;940;3544;615;5365;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;CE;Difusão do Conhecimento Científico e Tecnológico;250000.0;2035.42;68493.15068;557.6493151;0.739;9072980;155903824.8;31197319.85;23225164.51;7972155.339;0.200106187;0.148971101;0.051135085;394330;23.00859686;1.361890135;-0.434240953;351722;0.891948368;42608;0.108051632;36430;4250;940;172;177;539;186;1184;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;CE;Promoção da Produção Agropecuária;4000000.0;622400.0;1095890.411;170520.5479;0.739;9072980;155903824.8;31197319.85;23225164.51;7972155.339;0.200106187;0.148971101;0.051135085;394330;23.00859686;1.361890135;-0.434240953;351722;0.891948368;42608;0.108051632;36430;4250;940;172;177;539;186;1184;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;MA;Desenvolvimento Tecnológico e Engenharia;490000.0;0.0;134246.5753;0.0;0.686;7000726;98179495.64;19646324.47;14625907.61;5020416.859;0.200106187;0.148971101;0.051135085;219765;31.85550929;1.503184553;-0.360578284;210482;0.957759425;9283;0.042240575;4367;3216;372;400;171;115;185;836;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;MA;Promoção da Produção Agropecuária;2423000.0;11792.56;663835.6164;3230.838356;0.686;7000726;98179495.64;19646324.47;14625907.61;5020416.859;0.200106187;0.148971101;0.051135085;219765;31.85550929;1.503184553;-0.360578284;210482;0.957759425;9283;0.042240575;4367;3216;372;400;171;115;185;836;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;PB;Promoção da Produção Agropecuária;7450000.0;165621.09;2041095.89;45375.6411;0.711;3975329;64373595.37;12881554.68;9589805.409;3291749.273;0.200106187;0.148971101;0.051135085;163218;24.35594726;1.386605025;-0.423022414;134932;0.826698036;28286;0.173301964;21673;4980;1211;295;73;444;137;1104;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;PE;Abastecimento;150000.0;23750.0;41095.89041;6506.849315;0.735;9439033;186351975.3;37290183.13;27761059.03;9529124.104;0.200106187;0.148971101;0.051135085;281688;33.50882182;1.525159158;-0.346812192;262693;0.932567238;18995;0.067432762;9750;4954;1392;569;322;889;83;2089;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
2018;PE;Difusão do Conhecimento Científico e Tecnológico;350000.0;25042.06;95890.41096;6860.838356;0.735;9439033;186351975.3;37290183.13;27761059.03;9529124.104;0.200106187;0.148971101;0.051135085;281688;33.50882182;1.525159158;-0.346812192;262693;0.932567238;18995;0.067432762;9750;4954;1392;569;322;889;83;2089;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;PE;Promoção da Produção Agropecuária;8762271.0;587333.0;2400622.192;160913.1507;0.735;9439033;186351975.3;37290183.13;27761059.03;9529124.104;0.200106187;0.148971101;0.051135085;281688;33.50882182;1.525159158;-0.346812192;262693;0.932567238;18995;0.067432762;9750;4954;1392;569;322;889;83;2089;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;PI;Promoção da Produção Agropecuária;1000000.0;1400.0;273972.6027;383.5616438;0.699;3263754;50378417.55;10081033.02;7504928.354;2576104.666;0.200106187;0.148971101;0.051135085;245601;13.28884654;1.123487286;-0.515171193;237127;0.965496883;8474;0.034503117;4304;2578;574;105;96;100;263;972;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;RN;Promoção da Produção Agropecuária;4250000.0;155192.56;1164383.562;42518.50959;0.739;3479010;66969562.0;13401023.67;9976529.418;3424494.248;0.200106187;0.148971101;0.051135085;63452;54.8290046;1.739010362;-0.169292456;53247;0.839169766;10205;0.160830234;5484;3478;522;115;102;71;397;750;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;SE;Promoção da Produção Agropecuária;8822000.0;178397.65;2416986.301;48876.06849;0.71;2277956;42017981.28;8408058.0;6259464.954;2148593.046;0.200106187;0.148971101;0.051135085;93275;24.42193514;1.387780073;-0.422472975;84963;0.910887162;8312;0.089112838;5441;2242;214;147;62;12;47;391;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;AC;Desenvolvimento Tecnológico e Engenharia;100000.0;6189.43;27397.26027;1695.734247;0.733;853023;15331122.59;3067852.477;2283894.219;783958.2574;0.200106187;0.148971101;0.051135085;37356;22.83496627;1.358600374;-0.435686665;33086;0.8856944;4270;0.1143056;2904;953;146;114;19;315;104;175;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;AC;Difusão do Conhecimento Científico e Tecnológico;500000.0;36058.96;136986.3014;9879.167123;0.733;853023;15331122.59;3067852.477;2283894.219;783958.2574;0.200106187;0.148971101;0.051135085;37356;22.83496627;1.358600374;-0.435686665;33086;0.8856944;4270;0.1143056;2904;953;146;114;19;315;104;175;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;AC;Promoção da Produção Agropecuária;4530000.0;121332.88;1241095.89;33241.88493;0.733;853023;15331122.59;3067852.477;2283894.219;783958.2574;0.200106187;0.148971101;0.051135085;37356;22.83496627;1.358600374;-0.435686665;33086;0.8856944;4270;0.1143056;2904;953;146;114;19;315;104;175;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;AM;Difusão do Conhecimento Científico e Tecnológico;150000.0;38696.23;41095.89041;10601.70685;0.718;3921508;100109235.1;20032477.27;14913383.02;5119094.25;0.200106187;0.148971101;0.051135085;80959;48.43819711;1.68518797;-0.222504685;71267;0.880285083;9692;0.119714917;8092;1137;248;54;43;145;20;412;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;AM;Promoção da Produção Agropecuária;3350000.0;44861.45;917808.2192;12290.80822;0.718;3921508;100109235.1;20032477.27;14913383.02;5119094.25;0.200106187;0.148971101;0.051135085;80959;48.43819711;1.68518797;-0.222504685;71267;0.880285083;9692;0.119714917;8092;1137;248;54;43;145;20;412;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;AP;Difusão do Conhecimento Científico e Tecnológico;400000.0;7022.59;109589.0411;1923.99726;0.741;821545;16795206.67;3360824.759;2502000.437;858824.3213;0.200106187;0.148971101;0.051135085;8507;96.57282238;1.984854924;0.178282028;7214;0.848007523;1293;0.151992477;1125;132;14;8;12;1;45;35;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;AP;Promoção da Produção Agropecuária;2702634.0;8400.0;740447.6712;2301.369863;0.741;821545;16795206.67;3360824.759;2502000.437;858824.3213;0.200106187;0.148971101;0.051135085;8507;96.57282238;1.984854924;0.178282028;7214;0.848007523;1293;0.151992477;1125;132;14;8;12;1;45;35;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;PA;Desenvolvimento Tecnológico e Engenharia;300000.0;20000.0;82191.78082;5479.452055;0.707;8472029;161349602.0;32287053.55;24036427.94;8250625.619;0.200106187;0.148971101;0.051135085;281699;30.0747571;1.478202128;-0.375405486;264830;0.940116933;16869;0.059883067;8848;5051;1108;756;353;256;129;1141;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;PA;Promoção da Produção Agropecuária;12270090.0;88742.28;3361668.493;24312.95342;0.707;8472029;161349602.0;32287053.55;24036427.94;8250625.619;0.200106187;0.148971101;0.051135085;281699;30.0747571;1.478202128;-0.375405486;264830;0.940116933;16869;0.059883067;8848;5051;1108;756;353;256;129;1141;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;RO;Promoção da Produção Agropecuária;1400000.0;7000.0;383561.6438;1917.808219;0.73;1747154;44913978.49;8987564.958;6690884.848;2296680.11;0.200106187;0.148971101;0.051135085;91438;19.10752641;1.281204469;-0.46672271;74338;0.812988036;17100;0.187011964;13029;3343;384;456;197;62;35;446;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;RR;Difusão do Conhecimento Científico e Tecnológico;200000.0;21830.43;54794.52055;5980.939726;0.76;513466;13369987.72;2675417.257;1991741.798;683675.459;0.200106187;0.148971101;0.051135085;16846;30.47999525;1.484014895;-0.372031323;14619;0.867802446;2227;0.132197554;1498;638;37;16;26;6;110;91;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;RR;Promoção da Produção Agropecuária;2240000.0;14156.75;613698.6301;3878.561644;0.76;513466;13369987.72;2675417.257;1991741.798;683675.459;0.200106187;0.148971101;0.051135085;16846;30.47999525;1.484014895;-0.372031323;14619;0.867802446;2227;0.132197554;1498;638;37;16;26;6;110;91;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;TO;Promoção da Produção Agropecuária;5396000.0;348412.12;1478356.164;95455.37534;0.749;1542150;35666183.08;7137023.884;5313230.58;1823793.305;0.200106187;0.148971101;0.051135085;63808;24.16859955;1.383251486;-0.424582341;54908;0.860519057;8900;0.139480943;4728;3383;286;221;172;12;276;425;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;ES;Promoção da Produção Agropecuária;19667800.0;1411088.66;5388438.356;386599.6329;0.788;3968734;137020054.9;27418560.66;20412028.51;7006532.159;0.200106187;0.148971101;0.051135085;108014;36.74277408;1.565171943;-0.319885108;82693;0.765576685;25321;0.234423315;8895;7833;7305;1312;403;44;354;1701;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;MG;Difusão do Conhecimento Científico e Tecnológico;350000.0;55000.0;95890.41096;15068.49315;0.784;21030104;614875819.8;123040455.5;91598728.16;31441727.33;0.200106187;0.148971101;0.051135085;607557;34.61420739;1.539254391;-0.337608342;448571;0.738319203;158986;0.261680797;54926;64141;38718;7477;2218;732;919;8611;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;MG;Promoção da Produção Agropecuária;139434812.0;36672053.12;38201318.36;10047137.84;0.784;21030104;614875819.8;123040455.5;91598728.16;31441727.33;0.200106187;0.148971101;0.051135085;607557;34.61420739;1.539254391;-0.337608342;448571;0.738319203;158986;0.261680797;54926;64141;38718;7477;2218;732;919;8611;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;RJ;Desenvolvimento Tecnológico e Engenharia;500000.0;116599.99;136986.3014;31945.20274;0.805;17159435;758859046.9;151852390.0;113048068.1;38804321.9;0.200106187;0.148971101;0.051135085;65224;263.0846774;2.420095555;1.564721387;49149;0.753541641;16075;0.246458359;6803;7234;1288;180;213;41;36;1653;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;RJ;Difusão do Conhecimento Científico e Tecnológico;200000.0;0.0;54794.52055;0.0;0.805;17159435;758859046.9;151852390.0;113048068.1;38804321.9;0.200106187;0.148971101;0.051135085;65224;263.0846774;2.420095555;1.564721387;49149;0.753541641;16075;0.246458359;6803;7234;1288;180;213;41;36;1653;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;RJ;Promoção da Produção Agropecuária;13940000.0;330956.95;3819178.082;90673.13699;0.805;17159435;758859046.9;151852390.0;113048068.1;38804321.9;0.200106187;0.148971101;0.051135085;65224;263.0846774;2.420095555;1.564721387;49149;0.753541641;16075;0.246458359;6803;7234;1288;180;213;41;36;1653;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
